2018-09-27 08:40:21,759 - 登陆页面
2018-09-27 08:40:27,555 - 用户登陆
2018-09-27 08:40:31,288 - 用户登陆
2018-09-27 08:40:31,354 - 初始化Home Page数据
2018-09-27 08:40:32,206 - 获取所有产线数据
2018-09-27 08:40:32,356 - 获取刷新时间
2018-09-27 08:40:32,368 - 获取刷新时间
2018-09-27 08:40:42,376 - 获取所有产线数据
2018-09-27 08:40:52,369 - 获取所有产线数据
2018-09-27 08:40:58,436 - 初始化Home Page数据
2018-09-27 08:40:58,838 - 获取所有产线数据
2018-09-27 08:40:58,901 - 获取刷新时间
2018-09-27 08:40:58,924 - 获取刷新时间
2018-09-27 08:41:08,931 - 获取所有产线数据
2018-09-27 08:41:18,926 - 获取所有产线数据
2018-09-27 08:41:28,917 - 获取所有产线数据
2018-09-27 08:41:38,909 - 获取所有产线数据
2018-09-27 08:41:48,903 - 获取所有产线数据
2018-09-27 08:41:58,895 - 获取所有产线数据
2018-09-27 08:42:08,887 - 获取所有产线数据
2018-09-27 08:42:18,881 - 获取所有产线数据
2018-09-27 08:42:28,873 - 获取所有产线数据
2018-09-27 08:42:38,865 - 获取所有产线数据
2018-09-27 08:42:48,858 - 获取所有产线数据
2018-09-27 08:42:58,856 - 获取所有产线数据
2018-09-27 08:43:08,854 - 获取所有产线数据
2018-09-27 08:43:18,851 - 获取所有产线数据
2018-09-27 08:43:28,956 - 获取所有产线数据
2018-09-27 08:43:38,953 - 获取所有产线数据
2018-09-27 08:43:48,952 - 获取所有产线数据
2018-09-27 08:43:58,950 - 获取所有产线数据
2018-09-27 08:44:08,948 - 获取所有产线数据
2018-09-27 08:44:18,945 - 获取所有产线数据
2018-09-27 08:44:28,944 - 获取所有产线数据
2018-09-27 08:44:38,939 - 获取所有产线数据
2018-09-27 08:44:48,938 - 获取所有产线数据
2018-09-27 08:44:58,938 - 获取所有产线数据
2018-09-27 08:45:08,933 - 获取所有产线数据
2018-09-27 08:45:18,940 - 获取所有产线数据
2018-09-27 08:45:28,929 - 获取所有产线数据
2018-09-27 08:45:38,927 - 获取所有产线数据
2018-09-27 08:45:48,923 - 获取所有产线数据
2018-09-27 08:45:58,921 - 获取所有产线数据
2018-09-27 08:46:08,921 - 获取所有产线数据
2018-09-27 08:46:18,917 - 获取所有产线数据
2018-09-27 08:46:28,915 - 获取所有产线数据
2018-09-27 08:46:38,913 - 获取所有产线数据
2018-09-27 08:46:48,910 - 获取所有产线数据
2018-09-27 08:46:58,908 - 获取所有产线数据
2018-09-27 08:47:08,907 - 获取所有产线数据
2018-09-27 08:47:18,904 - 获取所有产线数据
2018-09-27 08:47:28,900 - 获取所有产线数据
2018-09-27 08:47:38,898 - 获取所有产线数据
2018-09-27 08:47:48,896 - 获取所有产线数据
2018-09-27 08:47:58,895 - 获取所有产线数据
2018-09-27 08:48:08,894 - 获取所有产线数据
2018-09-27 08:48:18,894 - 获取所有产线数据
2018-09-27 08:48:28,894 - 获取所有产线数据
2018-09-27 08:48:38,894 - 获取所有产线数据
2018-09-27 08:48:48,893 - 获取所有产线数据
2018-09-27 08:48:58,894 - 获取所有产线数据
2018-09-27 08:49:13,025 - 初始化Home Page数据
2018-09-27 08:49:15,195 - 获取所有产线数据
2018-09-27 08:49:15,445 - 获取刷新时间
2018-09-27 08:49:15,456 - 获取刷新时间
2018-09-27 08:49:25,478 - 获取所有产线数据
2018-09-25 08:49:33,855 - 初始化Home Page数据
2018-09-25 08:49:34,177 - 获取所有产线数据
2018-09-25 08:49:34,447 - 获取刷新时间
2018-09-25 08:49:34,457 - 获取刷新时间
2018-09-25 08:49:44,496 - 获取所有产线数据
2018-09-25 08:49:54,497 - 获取所有产线数据
2018-09-25 08:50:04,495 - 获取所有产线数据
2018-09-25 08:50:14,496 - 获取所有产线数据
2018-09-25 08:50:24,495 - 获取所有产线数据
2018-09-25 08:50:34,800 - 获取所有产线数据
2018-09-25 08:50:44,801 - 获取所有产线数据
2018-09-25 08:50:54,801 - 获取所有产线数据
2018-09-25 08:51:04,800 - 获取所有产线数据
2018-09-25 08:51:14,800 - 获取所有产线数据
2018-09-25 08:51:24,496 - 获取所有产线数据
2018-09-25 08:51:34,495 - 获取所有产线数据
2018-09-25 08:51:44,493 - 获取所有产线数据
2018-09-25 08:51:54,492 - 获取所有产线数据
2018-09-25 08:52:04,491 - 获取所有产线数据
2018-09-25 08:52:14,494 - 获取所有产线数据
2018-09-25 08:52:24,492 - 获取所有产线数据
2018-09-25 08:52:34,491 - 获取所有产线数据
2018-09-25 08:52:44,489 - 获取所有产线数据
2018-09-25 08:52:54,492 - 获取所有产线数据
2018-09-25 08:53:04,494 - 获取所有产线数据
2018-09-25 08:53:14,488 - 获取所有产线数据
2018-09-25 08:53:24,487 - 获取所有产线数据
2018-09-25 08:53:34,796 - 获取所有产线数据
2018-09-25 08:53:44,796 - 获取所有产线数据
2018-09-25 08:53:55,351 - 获取所有产线数据
2018-09-25 08:54:04,487 - 获取所有产线数据
2018-09-25 08:54:14,486 - 获取所有产线数据
2018-09-25 08:54:24,486 - 获取所有产线数据
2018-09-25 08:54:34,491 - 获取所有产线数据
2018-09-25 08:54:44,489 - 获取所有产线数据
2018-09-25 08:54:54,486 - 获取所有产线数据
2018-09-25 08:55:04,486 - 获取所有产线数据
2018-09-25 08:55:14,486 - 获取所有产线数据
2018-09-25 08:55:24,486 - 获取所有产线数据
2018-09-25 08:55:33,516 - 计划一览
2018-09-25 08:55:33,932 - 获取刷新时间
2018-09-25 08:56:10,549 - 初始化Home Page数据
2018-09-25 08:56:11,203 - 获取所有产线数据
2018-09-25 08:56:11,540 - 获取刷新时间
2018-09-25 08:56:11,551 - 获取刷新时间
2018-09-25 08:56:21,585 - 获取所有产线数据
2018-09-25 08:56:31,585 - 获取所有产线数据
2018-09-25 08:56:41,587 - 获取所有产线数据
2018-09-25 08:56:51,585 - 获取所有产线数据
2018-09-25 08:57:01,591 - 获取所有产线数据
2018-09-25 08:57:11,585 - 获取所有产线数据
2018-09-25 08:57:21,584 - 获取所有产线数据
2018-09-25 08:57:31,588 - 获取所有产线数据
2018-09-25 08:57:41,587 - 获取所有产线数据
2018-09-25 08:57:51,584 - 获取所有产线数据
2018-09-25 08:58:01,584 - 获取所有产线数据
2018-09-25 08:58:11,585 - 获取所有产线数据
2018-09-25 08:58:21,588 - 获取所有产线数据
2018-09-25 08:58:31,587 - 获取所有产线数据
2018-09-25 08:58:41,587 - 获取所有产线数据
2018-09-25 08:58:51,588 - 获取所有产线数据
2018-09-25 08:59:01,593 - 获取所有产线数据
